oneid,choice,profit,ave_other,size,whichgroup,round,rematching,time
20114,55,7945.5,83.5,3,1,8,randomly,2020-11-26 18:47:27
20114,54,1794,55,3,3,9,randomly,2020-11-26 18:49:32
20114,75,2607,53,3,0,10,randomly,2020-11-26 18:51:23
20114,51,7837.5,83.5,3,1,11,randomly,2020-11-26 18:53:29
20114,50,4050,65,3,2,12,randomly,2020-11-26 18:55:28
20114,100,2500,50,3,3,13,randomly,2020-11-26 18:57:27
20114,50,1450,55,3,3,14,randomly,2020-11-26 18:59:26
20114,51,2749.5,59.5,3,1,15,randomly,2020-11-26 19:01:24
20114,50,2272,58,3,3,16,randomly,2020-11-26 19:03:23
20114,55,5475,70,3,1,17,randomly,2020-11-26 19:05:29
20114,50,2272,58,3,0,18,randomly,2020-11-26 19:07:32
20114,55,7289.5,79.5,3,0,19,randomly,2020-11-26 19:09:23
20114,50,4050,65,3,1,20,randomly,2020-11-26 19:11:22
20320,50,NA,NA,NA,0,1,assortatively,2020-11-26 18:30:38
20320,80,7252,78,3,0,2,assortatively,2020-11-26 18:35:30
20320,100,4979.5,64.5,3,2,3,assortatively,2020-11-26 18:37:35
20320,100,7500,-1,1,3,4,assortatively,2020-11-26 18:39:42
20320,100,7500,-1,1,3,5,assortatively,2020-11-26 18:41:51
20320,100,7500,-1,1,3,6,assortatively,2020-11-26 18:44:11
20320,100,NA,NA,NA,3,7,assortatively,2020-11-26 18:45:23
20425,50,NA,NA,NA,0,1,randomly,2020-11-26 18:30:35
20425,55,1739.5,54.5,3,0,2,randomly,2020-11-26 18:35:33
20425,56,4660,66,3,1,3,randomly,2020-11-26 18:37:57
20425,65,6775,75,3,3,4,randomly,2020-11-26 18:39:27
20425,70,4000,60,3,1,5,randomly,2020-11-26 18:41:34
20425,65,3775,60,3,3,6,randomly,2020-11-26 18:43:26
20425,63,5811,70,3,0,7,randomly,2020-11-26 18:46:24
20425,75,4175,60,3,2,8,randomly,2020-11-26 18:48:21
20425,70,8309.5,85.5,3,1,9,randomly,2020-11-26 18:49:39
20425,80.25,NA,NA,NA,1,10,randomly,2020-11-26 18:51:38
21338,60,NA,NA,NA,5,1,assortatively,2020-11-26 18:30:26
21338,70,3552,58,3,2,2,assortatively,2020-11-26 18:35:50
21338,70,7529.5,79.5,3,2,3,assortatively,2020-11-26 18:37:23
21338,70,5632,68,3,2,4,assortatively,2020-11-26 18:39:33
21338,60,5395.5,68.5,3,2,5,assortatively,2020-11-26 18:41:50
21338,75,3963,59,3,0,6,assortatively,2020-11-26 18:43:40
21338,60,6739.5,75.5,3,2,7,assortatively,2020-11-26 18:45:23
21338,65,2195.5,53.5,3,0,8,assortatively,2020-11-26 18:47:26
21338,55,2407,57,3,1,9,assortatively,2020-11-26 18:49:21
21338,80,7187.5,55,2,0,10,assortatively,2020-11-26 18:51:27
21338,55,3299.5,60.5,3,1,11,assortatively,2020-11-26 18:53:49
21338,65,5185.5,66.5,3,0,12,assortatively,2020-11-26 18:55:51
21338,90,5250,65,3,0,13,assortatively,2020-11-26 18:57:42
21338,75,8175,70,2,2,14,assortatively,2020-11-26 18:59:25
21338,65,8143,84,3,1,15,assortatively,2020-11-26 19:01:22
21338,65,4447,63,3,0,16,assortatively,2020-11-26 19:03:22
21338,75,4331.375,60.75,3,0,17,assortatively,2020-11-26 19:05:43
21338,55,7203,79,3,1,18,assortatively,2020-11-26 19:07:26
21338,55,2407,57,3,0,19,assortatively,2020-11-26 19:09:38
21338,50,2800,60,3,0,20,assortatively,2020-11-26 19:11:21
22378,50,NA,NA,NA,3,1,assortatively,2020-11-26 18:30:38
22378,100,5452,68,3,0,2,assortatively,2020-11-26 18:36:27
22378,80,NA,NA,NA,3,3,assortatively,2020-11-26 18:37:59
27919,65,NA,NA,NA,5,1,assortatively,2020-11-26 18:31:00
27919,65,9283,88,2,3,2,assortatively,2020-11-26 18:35:31
27919,65,5387.5,67.5,3,1,3,assortatively,2020-11-26 18:38:02
27919,65,4555.5,63.5,3,1,4,assortatively,2020-11-26 18:39:44
27919,80,5339.5,65.5,3,1,5,assortatively,2020-11-26 18:42:43
27919,80,6635.5,73.5,3,2,6,assortatively,2020-11-26 18:43:52
27919,85,4927,63,3,2,7,assortatively,2020-11-26 18:46:04
27919,80,6100,70,3,2,8,assortatively,2020-11-26 18:47:47
27919,85,6709.5,74.5,3,2,9,assortatively,2020-11-26 18:50:01
27919,85,7829.5,84.5,3,2,10,assortatively,2020-11-26 18:51:34
27919,90,7200,60,2,2,11,assortatively,2020-11-26 18:54:27
27919,90,6937.5,55,2,2,12,assortatively,2020-11-26 18:55:26
27919,90,8389.5,99,2,2,13,assortatively,2020-11-26 18:58:13
27919,99,5615,69,3,1,14,assortatively,2020-11-26 19:00:13
27919,99,NA,NA,NA,2,15,assortatively,2020-11-26 19:02:13
28435,55,NA,NA,NA,2,1,not,2020-11-26 18:30:18
28610,50,NA,NA,NA,4,1,randomly,2020-11-26 18:30:17
28610,60,5700,70,3,1,2,randomly,2020-11-26 18:35:23
28610,50,3437.5,62.5,3,2,3,randomly,2020-11-26 18:37:22
28610,70,1858,51,3,2,4,randomly,2020-11-26 18:39:31
28610,80,7378,79,3,2,5,randomly,2020-11-26 18:41:32
28610,50,5842,73,3,0,6,randomly,2020-11-26 18:43:19
28610,90,3745.5,56.5,3,0,7,randomly,2020-11-26 18:45:29
28610,68,7146,77,3,1,8,randomly,2020-11-26 18:47:25
28610,55,1465.5,53.5,3,2,9,randomly,2020-11-26 18:49:38
28610,56,3851.5,62.5,3,0,10,randomly,2020-11-26 18:51:24
28610,78,5930,69,3,2,11,randomly,2020-11-26 18:53:21
28610,50,4050,65,3,2,12,randomly,2020-11-26 18:55:21
28610,80,5250,65,3,1,13,randomly,2020-11-26 18:57:19
28610,68,2746,55,3,0,14,randomly,2020-11-26 18:59:25
28610,56,4434,65,3,0,15,randomly,2020-11-26 19:01:19
28610,55,2537.5,57.5,3,0,16,randomly,2020-11-26 19:03:27
28610,66,6794,75,3,0,17,randomly,2020-11-26 19:05:26
28610,66,1344,50,3,0,18,randomly,2020-11-26 19:07:35
28610,77,1971,50,3,2,19,randomly,2020-11-26 19:09:21
28610,88,5015.5,63.5,3,0,20,randomly,2020-11-26 19:11:21
30074,75,NA,NA,NA,4,1,not,2020-11-26 18:31:10
30074,80,9100,100,2,1,2,not,2020-11-26 18:35:50
30074,85,7375,60,2,1,3,not,2020-11-26 18:37:40
30074,50,10000,-1,1,1,4,not,2020-11-26 18:39:39
30074,50.25,9999.9375,-1,1,1,5,not,2020-11-26 18:41:35
30074,50,10000,-1,1,1,6,not,2020-11-26 18:43:33
30074,100,7500,-1,1,1,7,not,2020-11-26 18:45:35
30074,100,7500,-1,1,1,8,not,2020-11-26 18:47:30
30074,75,9375,-1,1,1,9,not,2020-11-26 18:49:31
30074,70,9600,-1,1,1,10,not,2020-11-26 18:51:29
30074,65,9775,-1,1,1,11,not,2020-11-26 18:53:30
30074,60,9900,-1,1,1,12,not,2020-11-26 18:55:29
30074,63,9831,-1,1,1,13,not,2020-11-26 18:57:26
30074,60,9900,-1,1,1,14,not,2020-11-26 18:59:29
30074,50,10000,-1,1,1,15,not,2020-11-26 19:01:41
30074,50,10000,-1,1,1,16,not,2020-11-26 19:03:21
30074,50,10000,-1,1,1,17,not,2020-11-26 19:05:29
30074,50,10000,-1,1,1,18,not,2020-11-26 19:07:24
30074,50,10000,-1,1,1,19,not,2020-11-26 19:09:23
30074,50,10000,-1,1,1,20,not,2020-11-26 19:11:22
30329,51,NA,NA,NA,0,1,randomly,2020-11-26 18:33:51
30329,50,2137.5,57.5,3,2,2,randomly,2020-11-26 18:35:40
30329,55,3175,60,3,2,3,randomly,2020-11-26 18:37:23
30329,55,6475,75,3,0,4,randomly,2020-11-26 18:39:23
30329,54,4881.5,67.5,3,0,5,randomly,2020-11-26 18:41:29
30329,56,5524,70,3,0,6,randomly,2020-11-26 18:43:40
30329,55,4375,65,3,1,7,randomly,2020-11-26 18:45:26
30329,56,4882,67,3,0,8,randomly,2020-11-26 18:47:44
30329,57,NA,NA,NA,0,9,randomly,2020-11-26 18:49:38
31479,50,NA,NA,NA,0,1,not,2020-11-26 18:32:12
31479,100,7300,80,2,1,2,not,2020-11-26 18:36:35
31479,60,NA,NA,NA,1,3,not,2020-11-26 18:39:02
32558,55,NA,NA,NA,1,1,assortatively,2020-11-26 18:32:07
32558,60,4087.5,62.5,3,1,2,assortatively,2020-11-26 18:35:49
32558,65,5387.5,67.5,3,1,3,assortatively,2020-11-26 18:37:26
32558,60,4868,66,3,1,4,assortatively,2020-11-26 18:39:33
32558,61,3911.5,61.5,3,0,5,assortatively,2020-11-26 18:41:30
32558,60,4975.5,66.5,3,0,6,assortatively,2020-11-26 18:44:45
